Star,RA (deg),DEC (deg),Luminosity (Lsun),Radius (Rsun),Mass (Msun),Distance (pc),RA (HMS),DEC (DMS),Temperature (K)
Sun,10.684,19.822,1.0,1.0,1.0,0.0,0:42:44.16,19:49:19.20,5772.003429145849
Sirius,6.752,-16.716,25.4,1.71,2.02,8.6,0:27:00.48,-16:42:57.60,9909.162590025553
Vega,18.615,38.783,40.12,2.362,2.135,7.6,1:14:27.60,38:46:58.80,9452.068598826538
Betelgeuse,88.792,7.407,10000.0,950.0,18.0,197.0,5:55:10.08,7:24:25.20,1872.6851980953484
Arcturus,214.979,19.182,170.0,25.4,1.08,11.3,14:19:54.96,19:10:55.20,4135.442174171196
Rigel,78.634,-8.201,120000.0,78.0,20.0,860.0,5:14:32.16,-8:12:03.60,12163.94900001522
Bellatrix,81.282,6.349,5600.0,5.0,8.0,240.0,5:25:07.68,6:20:56.40,22329.992901813384
Zeta Puppis,110.944,-41.301,5000.0,23.0,16.0,600.0,7:23:46.56,-41:18:03.60,10120.574438044958
Proxima Centauri,217.429,-62.679,0.0017,0.154,0.122,1.301,14:29:42.96,-62:40:44.40,2986.6095561640204
Polaris,37.955,89.264,2500.0,46.0,5.4,133.0,2:31:49.20,89:15:50.40,6017.729564818864
